8, 91, 106]  (0.9336264191719585 63073)
[16, 55, 75, 85, 124, 127]  (0.9101351451366994 61486)
[19, 55, 85, 103, 106, 127]  (0.9119706322068771 61610)
[16, 37, 75, 85, 91, 106]  (0.9117189928504819 61593)
[37, 52, 55, 75, 85, 88]  (0.9208372189410424 62209)
[52, 75, 109, 121, 124, 127]  (0.9101499474517815 61487)
[19, 37, 72, 106, 109, 127]  (0.9499977796527377 64179)
[37, 82, 85, 88, 91, 109]  (0.9140281540032861 61749)
[19, 34, 37, 72, 75, 124]  (0.9225394851754815 62324)
[16, 37, 85, 88, 109, 124]  (0.9134212590849209 61708)
[37, 55, 85, 88, 121, 124]  (0.9053984043104342 61166)
[19, 37, 72, 106, 109, 124]  (0.9388220317657682 63424)
[19, 75, 91, 109, 124, 127]  (0.9726453217283183 65709)
[75, 82, 85, 88, 124, 127]  (0.9057980668176503 61193)
[19, 72, 75, 88, 103, 127]  (0.9190017318708646 62085)
[37, 82, 85, 88, 91, 106]  (0.9044066491999349 61099)
[19, 55, 85, 88, 103, 109]  (0.9133324451944284 61702)
[19, 88, 103, 106, 109, 124]  (0.9302662936483266 62846)
[19, 55, 85, 103, 106, 124]  (0.9007948843199076 60855)
[19, 72, 88, 91, 109, 124]  (0.9467560726497625 63960)
[37, 52, 88, 91, 106, 109]  (0.9364092544073893 63261)
[52, 55, 72, 91, 106, 127]  (0.9282975857424101 62713)
[52, 55, 88, 91, 106, 109]  (0.9440324466746599 63776)
[19, 55, 69, 75, 106, 127]  (0.9064345663661797 61236)
[19, 88, 103, 106, 109, 127]  (0.9414420415352961 63601)
[19, 72, 88, 91, 109, 121]  (0.9110972956170345 61551)
[37, 55, 85, 88, 121, 127]  (0.9053984043104342 61166)
[52, 75, 91, 103, 106, 109]  (0.9181728022262682 62029)
[55, 88, 91, 109, 124, 127]  (0.9692555915745222 65480)
[37, 55, 75, 109, 121, 127]  (0.9306659561555427 62873)
[16, 37, 55, 72, 91, 109]  (0.9258700060689492 62549)
[16, 52, 55, 88, 109, 124]  (0.9071894844353657 61287)
[52, 75, 85, 88, 91, 127]  (0.9270985982207617 62632)
[34, 55, 88, 91, 103, 106]  (0.9080332163950442 61344)
[19, 52, 88, 91, 103, 106]  (0.9070710659147091 61279)
[19, 55, 85, 88, 103, 106]  (0.9133324451944284 61702)
[19, 34, 91, 103, 106, 109]  (0.9160412688544488 61885)
[16, 52, 55, 88, 109, 127]  (0.9183652323223352 62042)
[19, 34, 37, 72, 75, 127]  (0.933715233062451 63079)
[72, 75, 91, 106, 124, 127]  (0.9528546264635789 64372)
[16, 37, 85, 88, 109, 127]  (0.9245970069718904 62463)
[16, 37, 55, 72, 88, 127]  (0.917743535088888 62000)
[19, 37, 72, 106, 109, 121]  (0.9031632547330403 61015)
[16, 37, 55, 72, 91, 106]  (0.916248501265598 61899)
[19, 55, 82, 91, 109, 127]  (0.9050431487484643 61142)
[19, 85, 88, 91, 103, 127]  (0.9195642198439836 62123)
[16, 34, 55, 75, 106, 109]  (0.9081072279704546 61349)
[19, 37, 52, 55, 75, 124]  (0.931835339047027 62952)
[34, 37, 91, 103, 106, 109]  (0.9236940657518836 62402)
[19, 85, 88, 91, 103, 124]  (0.9083884719570141 61368)
[37, 55, 85, 103, 106, 127]  (0.9120002368370413 61612)
[19, 37, 75, 106, 121, 124]  (0.9209852420918632 62219)
[37, 55, 85, 88, 106, 109]  (0.9426706336871087 63684)
[34, 37, 75, 85, 91, 127]  (0.9280015394407686 62693)
[55, 69, 72, 91, 109, 124]  (0.9112897257131015 61564)
[69, 72, 75, 88, 106, 127]  (0.9123702947140933 61637)
[19, 72, 91, 106, 109, 121]  (0.9095430525334163 61446)
[37, 55, 88, 106, 124, 127]  (0.9520108945039004 64315)
[16, 55, 75, 103, 106, 109]  (0.91362849149607 61722)
[16, 19, 55, 91, 103, 106]  (0.9170034193347839 61950)
[37, 55, 69, 72, 75, 124]  (0.9062125316399485 61221)
[19, 91, 106, 121, 124, 127]  (0.9319833621978477 62962)
[37, 55, 75, 109, 121, 124]  (0.9306659561555427 62873)
[19, 37, 52, 75, 85, 91]  (0.9131844220436076 61692)
[55, 69, 72, 91, 109, 127]  (0.922465473600071 62319)
[16, 34, 88, 91, 109, 124]  (0.9080924256553725 61348)
[72, 91, 106, 109, 121, 127]  (0.917195849430851 61963)
[19, 34, 75, 85, 124, 127]  (0.9091729946563643 61421)
[19, 34, 37, 55, 106, 127]  (0.9376378465592019 63344)
[55, 72, 85, 109, 124, 127]  (0.9249374602187782 62486)
[34, 55, 88, 91, 103, 109]  (0.9080332163950442 61344)
[37, 72, 75, 88, 106, 127]  (0.9483399203635449 64067)
[19, 37, 52, 55, 75, 127]  (0.9430110869339965 63707)
[55, 72, 103, 106, 109, 124]  (0.917195849430851 61963)
[16, 55, 85, 106, 109, 124]  (0.9038293589117338 61060)
[34, 52, 75, 88, 124, 127]  (0.9029708246369732 61002)
[19, 75, 106, 109, 124, 127]  (0.9642672113918617 65143)
[69, 72, 75, 88, 106, 124]  (0.9011945468271237 60882)
[72, 75, 85, 109, 124, 127]  (0.9325310478558847 62999)
[37, 55, 72, 88, 124, 127]  (0.9404946933700431 63537)
[52, 88, 106, 109, 124, 127]  (0.9314948858001392 62929)
[34, 75, 91, 103, 106, 109]  (0.919075743446275 62090)
[16, 19, 52, 88, 91, 124]  (0.9084920881625886 61375)
[16, 19, 75, 88, 109, 124]  (0.9383039507378954 63389)
[34, 55, 103, 106, 109, 127]  (0.9159820595941205 61881)
[34, 72, 103, 106, 109, 127]  (0.9011353375667954 60878)
[16, 19, 34, 91, 124, 127]  (0.9174622911023284 61981)
[75, 91, 109, 121, 124, 127]  (0.9446393415930251 63817)
[34, 55, 103, 106, 109, 124]  (0.904806311707151 61126)
[55, 75, 88, 91, 103, 127]  (0.9368829284900159 63293)
[19, 34, 75, 88, 91, 124]  (0.9310508163476767 62899)
[52, 55, 72, 91, 106, 124]  (0.9171218378554405 61958)
[16, 19, 55, 91, 103, 109]  (0.9170034193347839 61950)
[19, 72, 91, 106, 109, 124]  (0.9452018295661442 63855)
[37, 55, 69, 72, 75, 127]  (0.917388279526918 61976)
[19, 34, 85, 88, 91, 127]  (0.9249670648489424 62488)
[34, 72, 75, 85, 109, 127]  (0.9088769483547227 61401)
[16, 75, 88, 91, 124, 127]  (0.9396065544651183 63477)
[19, 37, 52, 72, 75, 88]  (0.9172402563760972 61966)
[19, 37, 75, 106, 121, 127]  (0.9209852420918632 62219)
[37, 55, 85, 103, 106, 124]  (0.9008244889500718 60857)
[16, 19, 75, 88, 109, 127]  (0.9494796986248649 64144)
[34, 37, 75, 85, 91, 124]  (0.9168257915537991 61938)
[19, 34, 37, 55, 106, 124]  (0.9264620986722324 62589)
[52, 55, 75, 91, 124, 127]  (0.9458679337448377 63900)
[19, 34, 52, 91, 106, 109]  (0.9096170641088266 61451)
[19, 34, 85, 88, 91, 124]  (0.9137913169619728 61733)
[16, 19, 52, 88, 91, 127]  (0.9196678360495582 62130)
[37, 52, 72, 85, 109, 127]  (0.9003508148674453 60825)
[19, 52, 75, 106, 124, 127]  (0.9285344227837233 62729)
[55, 85, 88, 109, 121, 124]  (0.9117189928504819 61593)
[19, 72, 75, 91, 109, 127]  (0.9659990822564649 65260)
[37, 72, 75, 88, 106, 121]  (0.9015053954438474 60903)
[37, 72, 91, 106, 109, 121]  (0.9095726571635804 61448)
[16, 19, 75, 88, 109, 121]  (0.9026451737051675 60980)
[19, 82, 85, 88, 106, 109]  (0.9043770445697707 61097)
[88, 103, 106, 109, 124, 127]  (0.9379190905457614 63363)
[37, 72, 91, 106, 109, 124]  (0.9452314341963083 63857)
[19, 37, 52, 75, 85, 88]  (0.9131844220436076 61692)
[34, 37, 75, 91, 121, 124]  (0.9111120979321166 61552)
[19, 37, 88, 106, 109, 127]  (0.9631274331305416 65066)
[55, 72, 75, 88, 109, 127]  (0.9579910297970603 64719)
[55, 85, 88, 109, 121, 127]  (0.9117189928504819 61593)
[19, 37, 75, 82, 85, 88]  (0.9030596385274657 61008)
[19, 72, 75, 91, 109, 124]  (0.9548233343694954 64505)
[19, 52, 72, 75, 109, 127]  (0.9315096881152212 62930)
[19, 37, 52, 88, 106, 109]  (0.9287564575099545 62744)
[55, 75, 91, 109, 121, 127]  (0.9370457539559187 63304)
[34, 55, 75, 91, 106, 109]  (0.9407907396716847 63557)
[34, 52, 75, 109, 124, 127]  (0.9109788770963779 61543)
[19, 37, 75, 82, 88, 127]  (0.9016978255399144 60916)
[19, 69, 72, 91, 124, 127]  (0.9125331201799961 61648)
[75, 85, 109, 121, 124, 127]  (0.9146942581819797 61794)
[72, 75, 88, 91, 109, 127]  (0.9655846174341667 65232)
[34, 55, 75, 103, 106, 109]  (0.9127255502760632 61661)
[19, 55, 88, 106, 124, 127]  (0.9519812898737362 64313)
[16, 34, 88, 91, 109, 127]  (0.919268173542342 62103)
[75, 82, 85, 88, 106, 127]  (0.9060497061740456 61210)
[34, 37, 75, 91, 121, 127]  (0.9111120979321166 61552)
[19, 69, 106, 109, 124, 127]  (0.9028524061163166 60994)
[37, 72, 75, 88, 106, 124]  (0.9371641724765754 63312)
[55, 85, 88, 91, 109, 127]  (0.9585535177701793 64757)
[55, 69, 88, 106, 109, 127]  (0.9047767070769869 61124)
[16, 55, 85, 106, 109, 127]  (0.9150051067987033 61815)
[34, 37, 75, 85, 106, 124]  (0.9059016830232248 61200)
[19, 34, 75, 103, 124, 127]  (0.9001287801412141 60810)
[55, 75, 91, 109, 121, 124]  (0.9370457539559187 63304)
[55, 69, 91, 109, 124, 127]  (0.9112897257131015 61564)
[72, 91, 106, 109, 121, 124]  (0.917195849430851 61963)
[16, 19, 37, 103, 109, 124]  (0.9056796482969937 61185)
